고유번호,제품명,브랜드,카테고리,조회수,총별점,별점횟수,높은위험,중간위험,주의성분
1,베이비 네이처 매지컬 인 샤워 에센스 오일,A24(에이이십사),오일,0,0,0,0,1,1
2,베이비 네이처 에브리데이 모이스처라이징 로션,A24(에이이십사),로션,0,0,0,0,1,1
3,베이비 네이처 탑투토 버블 워시,A24(에이이십사),워시,0,0,0,0,1,1
4,내추럴 베이비 징크 선 스크린,CPN(캘리포니아퓨어내추럴),선케어,0,0,0,0,1,1
5,"베이비 젠틀 포밍 클렌저 for 헤어,바디",CPN(캘리포니아퓨어내추럴),워시,0,0,0,0,1,1
6,오가닉 베이비 수딩 알로에 하이드레이터,CPN(캘리포니아퓨어내추럴),로션,0,0,0,0,1,1
7,오가닉 베이비 크리미 밤,CPN(캘리포니아퓨어내추럴),크림,0,0,0,0,0,1
8,Everyone Baby Calendula+Oat Lotion,EO(이오프로덕트),로션,0,0,0,0,1,1
9,에브리 원 솝 포 에브리 키즈(오렌지스퀴즈),EO(이오프로덕트),워시,0,0,0,0,1,1
10,베이비 인 더 가든 T케어크림,G.hands(지핸즈),크림,0,0,0,0,1,1
11,베이비 인 더 가든 보습오일,G.hands(지핸즈),오일,0,0,0,0,1,1
12,Kids Goat Bamboo Wipes,GOAT(더고트스킨케어),물티슈,0,0,0,0,1,1
13,마미 투 비 럭셔리웅스 퍼밍 바디 오일,IWLT(아이더블유엘티),오일,0,0,0,0,1,1
14,에코 물티슈,LG생활건강(엘지생활건강),물티슈,0,0,0,0,1,1
15,베이비 모이스처라이징 크림,QV(큐브이),크림,0,0,0,0,1,1
16,퓨어 베이비 마일드 로션,SNP(에스엔피),로션,0,0,0,0,1,1
17,퓨어 베이비 마일드 샴푸&워시,SNP(에스엔피),워시,0,0,0,1,1,1
18,퓨어 베이비 마일드 크림,SNP(에스엔피),크림,0,0,0,0,1,1
19,베이비 로션,VT(브이티),로션,0,0,0,0,1,1
20,베이비 바스&샴푸,VT(브이티),워시,0,0,0,0,1,1
21,베이비 선크림,VT(브이티),선케어,0,0,0,0,1,1
22,베이비 수딩젤,VT(브이티),크림,0,0,0,0,1,1
23,베이비 크림,VT(브이티),크림,0,0,0,0,1,1
