제품고유번호,성분고유번호
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
2,37
2,6
2,38
2,2
2,39
2,40
2,41
2,24
2,42
2,18
2,1902
2,43
2,44
2,45
3,2
3,39
3,41
3,50
3,42
3,18
3,44
3,51
3,6
3,52
3,53
3,54
3,55
3,38
3,49
4,12
4,93
4,61
4,39
4,94
4,7
4,4
4,51
4,27
4,95
4,96
4,97
4,98
4,83
4,11
5,4
5,99
5,100
5,28
5,101
5,7
5,94
5,95
5,83
5,11
6,12
6,16
6,102
6,103
6,74
6,104
7,51
7,2
7,99
7,105
7,106
7,107
7,108
7,109
7,110
7,111
7,112
7,113
7,114
7,115
7,116
7,117
7,118
7,119
7,120
7,74
7,121
8,12
8,122
8,11
8,123
8,124
8,125
9,12
9,126
9,27
9,127
9,20
9,87
9,128
9,129
9,130
9,131
9,132
9,23
9,133
9,134
10,12
10,27
10,135
10,20
10,136
10,137
10,51
10,107
10,138
10,40
10,6
10,19
10,139
10,140
10,141
10,142
10,143
10,144
10,34
10,145
10,25
10,146
10,14
10,56
10,147
10,123
11,12
11,183
11,184
11,185
11,65
11,186
11,187
11,56
11,97
11,188
11,189
11,23
11,190
11,191
11,87
11,192
11,59
11,193
11,129
11,150
11,194
11,195
11,128
11,196
11,45
11,83
11,74
11,110
11,149
11,197
11,148
11,198
11,33
11,27
11,199
11,146
11,160
11,161
11,200
11,34
11,169
11,168
11,167
11,68
11,166
11,165
11,47
11,164
11,163
11,162
11,80
11,170
11,178
11,177
11,171
11,182
11,181
11,180
11,179
11,173
11,172
11,176
11,175
11,174
12,148
12,149
12,27
12,150
12,156
12,146
12,201
12,152
12,157
12,158
12,202
12,159
12,12
12,153
12,203
12,110
12,56
12,199
12,106
12,28
12,51
12,160
12,161
12,34
12,142
12,80
12,162
12,163
12,164
12,47
12,165
12,166
12,68
12,167
12,168
12,169
12,170
12,171
12,172
12,173
12,174
12,175
12,176
12,177
12,178
12,179
12,180
12,181
12,182
13,148
13,149
13,150
13,72
13,99
13,106
13,156
13,27
13,146
13,155
13,60
13,51
13,129
13,50
13,39
13,81
13,61
13,12
13,152
13,154
13,20
13,153
13,157
13,204
13,158
13,58
13,159
13,205
13,110
13,206
13,56
13,199
13,155
13,34
13,161
13,142
13,169
13,168
13,167
13,68
13,166
13,165
13,47
13,164
13,163
13,162
13,80
13,170
13,178
13,177
13,171
13,181
13,180
13,179
13,173
13,172
13,176
13,174
14,40
14,217
14,218
14,43
14,99
14,180
15,219
15,179
15,184
15,220
15,152
15,146
15,56
15,27
15,221
15,205
15,157
15,112
15,33
15,75
16,12
16,27
16,71
16,219
16,112
16,222
16,223
16,224
16,225
16,226
16,159
16,88
17,219
17,179
17,71
17,39
17,184
17,27
17,77
17,78
17,227
17,23
17,76
17,51
17,101
17,90
17,228
17,231
17,202
17,20
17,232
17,233
17,68
17,229
17,220
17,112
17,221
17,99
17,180
17,33
18,143
18,34
18,525
18,12
18,51
18,18
18,2573
18,2574
18,182
18,610
18,2298
18,27
18,2575
18,43
18,2576
18,112
19,255
19,24
19,39
19,256
20,12
20,226
20,265
20,88
20,83
20,98
20,234
20,96
20,266
20,267
20,268
20,8
20,200
20,269
20,112
21,12
21,268
21,8
21,226
21,146
21,14
21,270
22,12
22,56
22,27
22,146
22,287
22,150
22,158
22,288
22,140
22,199
22,289
22,75
22,19
22,141
22,112
22,282
22,181
22,159
22,291
22,182
22,34
22,142
22,30
22,180
22,93
23,12
23,27
23,527
23,416
23,414
23,266
23,741
23,88
23,2558
23,125
23,56
23,277
23,278
23,144
23,490
23,280
23,281
23,282
23,283
23,284
23,127
23,75
23,226
23,73
23,11
24,12
24,27
24,95
24,97
24,197
24,185
24,126
24,23
24,76
24,20
24,50
24,59
24,87
24,62
24,271
24,272
24,273
24,274
24,275
24,150
24,276
24,128
24,199
24,56
24,277
24,278
24,144
24,279
24,280
24,281
24,282
24,283
24,284
24,6
24,99
24,75
24,73
24,285
24,11
25,12
25,416
25,2566
25,740
25,2333
25,741
25,242
25,266
25,469
25,11
25,253
25,88
26,12
26,37
26,50
26,56
26,299
26,27
26,15
26,20
26,105
26,150
26,300
26,25
26,275
26,301
26,302
26,303
26,304
26,305
26,306
26,307
26,106
26,128
26,188
26,202
26,140
26,308
26,309
26,310
26,288
26,311
26,156
26,312
26,313
26,146
26,247
26,43
26,159
26,33
26,75
27,12
27,304
27,305
27,301
27,303
27,302
27,314
27,156
27,146
27,159
27,56
27,27
27,14
27,88
27,226
27,267
27,11
28,12
28,125
28,185
28,315
28,304
28,305
28,316
28,303
28,302
28,181
28,317
28,318
28,314
28,27
28,56
28,319
28,156
28,146
28,107
28,121
28,108
28,320
28,91
28,321
28,322
28,323
28,324
28,267
28,14
28,226
28,159
28,88
29,12
29,27
29,106
29,325
29,56
29,18
29,326
29,327
29,24
29,130
29,15
29,150
29,301
29,302
29,303
29,304
29,305
29,67
29,153
29,87
29,184
29,146
29,328
29,14
29,308
29,309
29,329
29,72
29,156
29,252
29,202
29,275
29,88
29,330
29,331
29,159
29,20
29,33
29,332
29,75
29,11
30,99
30,39
30,51
30,50
30,61
30,101
30,72
30,301
30,302
30,303
30,304
30,305
30,67
30,153
30,150
30,83
30,272
30,74
30,156
30,146
30,159
30,43
30,12
30,56
30,11
31,12
31,471
31,527
31,417
31,2037
31,2572
31,266
31,301
31,302
31,303
31,304
31,305
31,317
31,318
31,1581
31,15
31,491
31,83
31,88
31,14
31,490
31,125
31,469
31,737
31,146
31,156
31,56
31,159
31,75
31,11
32,12
32,27
32,72
32,24
32,65
32,300
32,60
32,61
32,301
32,302
32,303
32,304
32,305
32,306
32,150
32,181
32,336
32,337
32,202
32,141
32,287
32,146
32,20
32,23
32,97
32,188
32,338
32,145
32,155
32,339
32,157
32,158
32,159
32,156
32,153
32,11
33,12
33,471
33,527
33,420
33,2166
33,491
33,266
33,301
33,302
33,303
33,304
33,305
33,317
33,318
33,1581
33,484
33,14
33,125
33,472
33,205
33,88
33,737
33,157
33,146
33,56
33,156
33,159
33,75
33,11
34,343
34,248
34,37
34,72
34,344
34,45
34,345
34,301
34,302
34,303
34,304
34,305
34,306
34,150
34,83
34,14
34,140
34,74
34,346
34,156
34,12
34,146
34,159
35,301
35,302
35,303
35,156
35,304
35,150
35,184
35,146
35,27
35,305
35,306
35,347
35,348
35,15
35,349
35,209
35,12
35,56
35,286
35,157
35,159
35,199
35,350
35,351
35,71
35,158
35,33
36,12
36,150
36,56
36,27
36,299
36,15
36,301
36,302
36,303
36,304
36,305
36,67
36,153
36,347
36,106
36,87
36,146
36,205
36,286
36,288
36,184
36,14
36,156
36,290
36,355
36,62
36,331
36,159
36,351
36,71
36,75
36,11
37,616
37,1782
37,117
37,105
37,107
37,51
37,110
37,111
37,112
37,113
37,108
37,115
37,116
37,118
37,119
37,120
37,384
37,383
37,278
37,200
37,385
37,337
37,382
37,304
37,302
37,303
37,390
37,387
37,388
37,389
37,386
37,778
37,209
37,199
37,74
37,140
37,121
37,780
37,129
37,83
37,12
38,12
38,37
38,187
38,319
38,356
38,189
38,26
38,184
38,357
38,358
38,359
38,360
38,361
38,362
38,240
38,363
38,316
38,302
38,303
38,304
38,305
38,306
38,221
38,364
38,365
38,366
38,150
38,91
38,107
38,322
38,320
38,324
38,108
38,321
38,121
38,323
38,56
38,266
38,367
38,196
38,368
38,128
38,369
38,14
38,83
38,156
38,146
38,159
38,75
39,2554
39,12
39,302
39,304
39,301
39,303
39,305
39,318
39,317
39,51
39,18
39,24
39,6
39,8
39,4
39,156
39,159
39,146
39,11
40,12
40,299
40,319
40,56
40,15
40,129
40,105
40,370
40,27
40,106
40,301
40,302
40,303
40,304
40,305
40,67
40,153
40,209
40,371
40,192
40,150
40,372
40,14
40,72
40,373
40,156
40,74
40,288
40,146
40,159
40,158
40,75
40,11
41,12
41,183
41,56
41,27
41,374
41,375
41,376
41,319
41,377
41,378
41,379
41,190
41,380
41,381
41,107
41,51
41,200
41,278
41,382
41,304
41,383
41,384
41,302
41,337
41,303
41,385
41,386
41,387
41,388
41,389
41,390
41,110
41,111
41,148
41,113
41,112
41,108
41,391
41,117
41,92
41,392
41,120
41,106
41,393
41,394
41,115
41,15
41,395
41,205
41,14
41,396
41,83
41,121
41,153
41,331
41,300
41,75
42,12
42,27
42,106
42,325
42,146
42,334
42,301
42,302
42,303
42,304
42,305
42,67
42,153
42,347
42,87
42,327
42,202
42,275
42,286
42,56
42,184
42,14
42,156
42,288
42,43
42,159
42,351
42,71
42,20
42,332
42,158
42,75
42,11
43,12
43,27
43,397
43,184
43,187
43,6
43,300
43,398
43,146
43,20
43,316
43,302
43,303
43,304
43,305
43,306
43,221
43,366
43,364
43,365
43,150
43,129
43,91
43,107
43,322
43,323
43,320
43,324
43,108
43,321
43,121
43,399
43,128
43,400
43,145
43,286
43,155
43,401
43,156
43,83
43,159
44,402
44,87
44,403
44,299
44,378
44,236
44,183
44,26
44,404
44,374
44,45
44,405
44,57
44,190
44,406
44,316
44,302
44,303
44,304
44,305
44,407
44,221
44,366
44,364
44,365
44,150
44,91
44,107
44,322
44,323
44,320
44,324
44,108
44,321
44,121
44,408
44,123
44,258
44,12
44,156
44,56
44,146
44,159
45,12
45,304
45,305
45,301
45,303
45,302
45,314
45,156
45,146
45,159
45,56
45,27
45,14
45,88
45,226
45,267
45,11
46,12
46,304
46,305
46,301
46,303
46,302
46,314
46,200
46,156
46,146
46,159
46,56
46,27
46,88
46,226
46,267
46,11
47,12
47,185
47,183
47,27
47,356
47,37
47,374
47,56
47,45
47,187
47,409
47,361
47,358
47,87
47,266
47,316
47,302
47,303
47,304
47,305
47,410
47,221
47,364
47,365
47,366
47,150
47,411
47,91
47,107
47,323
47,320
47,324
47,108
47,321
47,322
47,121
47,194
47,367
47,83
47,196
47,128
47,14
47,413
47,146
47,156
47,159
47,75
48,12
48,414
48,415
48,416
48,417
48,418
48,301
48,302
48,303
48,304
48,305
48,317
48,318
48,419
48,150
48,27
48,125
48,146
48,184
48,420
48,88
48,242
48,36
48,156
48,159
48,56
48,421
48,266
48,226
48,11
49,12
49,422
49,423
49,56
49,424
49,343
49,335
49,189
49,130
49,97
49,425
49,146
49,327
49,51
49,107
49,426
49,427
49,428
49,323
49,429
49,92
49,23
49,288
49,14
49,158
49,430
49,150
49,99
49,18
49,106
49,6
49,72
49,100
50,12
50,72
50,25
50,42
50,97
50,431
50,51
50,50
50,85
50,6
50,74
50,140
50,76
50,432
50,226
50,433
50,89
51,51
51,99
51,74
51,728
51,6
51,28
51,72
51,129
51,432
52,12
52,527
52,416
52,2333
52,697
52,19
52,745
52,31
52,741
52,2571
52,677
52,11
52,515
52,88
53,12
53,238
53,99
53,18
53,101
53,6
53,20
53,97
53,42
53,23
53,10
53,43
53,434
53,89
53,112
53,435
53,255
53,436
54,12
54,27
54,146
54,56
54,205
54,437
54,288
54,438
54,8
54,439
54,440
54,46
54,181
54,441
54,140
54,442
54,202
54,443
54,15
54,14
54,43
54,11
55,12
55,27
55,72
55,50
55,15
55,20
55,128
55,58
55,23
55,197
55,444
55,87
55,25
55,157
55,158
55,336
55,181
55,153
55,445
55,446
55,447
55,448
55,159
55,140
55,56
55,75
55,202
55,146
55,11
56,12
56,27
56,416
56,266
56,489
56,527
56,1218
56,677
56,469
56,445
56,446
56,447
56,448
56,1502
56,88
56,242
56,56
56,146
56,226
56,11
57,343
57,451
57,344
57,346
57,248
57,129
57,45
57,37
57,326
57,83
57,452
57,140
57,12
57,56
57,146
57,445
57,446
57,447
57,448
57,14
57,311
57,128
57,345
57,74
57,11
58,12
58,27
58,56
58,26
58,72
58,20
58,185
58,151
58,23
58,60
58,209
58,99
58,307
58,135
58,81
58,148
58,453
58,282
58,61
58,59
58,454
58,455
58,275
58,128
58,456
58,457
58,62
58,14
58,98
58,157
58,96
58,74
58,15
58,33
58,458
58,459
58,75
58,460
58,83
58,461
58,462
58,36
58,11
59,12
59,416
59,417
59,266
59,463
59,464
59,465
59,466
59,467
59,438
59,419
59,453
59,148
59,40
59,99
59,282
59,469
59,75
59,56
59,15
59,454
59,455
59,456
59,83
59,36
59,14
59,27
59,226
59,89
59,11
60,12
60,2559
60,417
60,416
60,463
60,2568
60,313
60,311
60,266
60,27
60,99
60,261
60,106
60,738
60,88
60,490
60,1178
60,77
60,75
60,1502
60,647
60,23
60,226
60,515
60,11
61,12
61,416
61,56
61,470
61,27
61,471
61,472
61,473
61,14
61,96
61,453
61,209
61,467
61,474
61,98
61,419
61,475
61,476
61,314
61,477
61,282
61,478
61,479
61,480
61,36
61,438
61,15
61,340
61,276
61,75
61,481
61,469
61,482
61,483
61,226
61,11
62,12
62,56
62,1122
62,527
62,416
62,266
62,414
62,1857
62,444
62,14
62,98
62,96
62,453
62,475
62,476
62,314
62,477
62,282
62,478
62,479
62,480
62,140
62,15
62,75
62,199
62,482
62,483
62,36
62,27
62,226
62,11
63,12
63,27
63,56
63,26
63,72
