고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
1,카놀라오일,캐놀라오일(Canola Oil),Canola Oil,8002-13-9;120962-03-0,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
2,잇꽃씨오일,Carthamus Tinctorius Oil;Safflower Seed Oil,Carthamus Tinctorius (Safflower) Seed Oil,8001-23-8,"향료, 수분증발차단제",,,,,,,,,,,,,,,,
3,쉐어버터오일,시어버터오일,Butyrospermum Parkii (Shea) Oil,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,유사EWG,,,,,
4,포도씨오일,,Vitis Vinifera (Grape) Seed Oil,8024-22-4,피부컨디셔닝제,A,B,AB,,,,,,,,,,,,,
5,참깨오일,Gingilli Oil;Sesame Oil;Sesame Seed Oil (RIFM);sesami oleum (EP),Sesamum Indicum (Sesame) Seed Oil,8008-74-0,착향제^피부컨디셔닝제(수분차단제),A,B,AB,,,,,,,,,,,,,
6,호호바씨오일,Buxus Chinensis Oil;Jojoba Seed Oil,Simmondsia Chinensis (Jojoba) Seed Oil,61789-91-1,"헤어컨디셔닝제, 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
7,달맞이꽃오일,달맞이꽃씨오일,Oenothera Biennis (Evening Primrose) Oil,,피부컨디셔닝제,A,C,AC,,,,,,,,,,,,,
8,알로에베라잎추출물,Aloe Extract (1);Aloe Extract (2);Aloe Extract (9);Barbados Aloe Extract;Curacao Aloe Extract,Aloe Barbadensis Leaf Extract;Aloe Vera Leaf Extract,85507-69-3;94349-62-9,"보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 산화방지제, 피부컨디셔닝제(보습제)",B,C,BC,,,,,,,,유사EWG,,,,,
9,프로폴리스추출물,propolis (EP),Propolis Extract,85665-41-4,피부컨디셔닝제,A,C,AC,,,H317,,,,,,,,,,
10,포트마리골드추출물,카렌둘라추출물(Calendula Officinalis Extract),Calendula Officinalis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
11,향료,,Flavor;Fragrance;Parfum;Aroma,,감미제,B,B,BB,,,,,,,,,,,1,,
12,정제수,Aqua (EU);Deionized Water;Distilled Water;Micromatrix Fractile AN;Onsen-Sui (JPN);Purified Water,Water;Aqua,7732-18-5,"피부컨디셔닝제, 용제",A,A,AA,,,,,,,,,,,,,
13,헥산디올,헥산다이올,Hexanediol,26762-52-7;629-11-8,용제,A,C,AC,,,,,,,,,,,,,
14,카프릴릴글라이콜,"Capryl Glycol;1,2-Dihydroxyoctane;1,2-Octanediol;1,2-Octylene Glycol",Caprylyl Glycol,1117-86-8,"모발컨디셔닝제, 피부유연화제",A,C,AC,,,,,,H318,,,,,,,
15,펜틸렌글라이콜,"1,2-Dihydroxypentane;1,2-Pentanediol",Pentylene Glycol,5343-92-0,"피부컨디셔닝제, 용제",A,C,AC,,,H317,,,H318,,,,,,,
16,코카미도프로필피지-다이모늄클로라이드포스페이트,코카미도프로필피지-디모늄클로라이드포스페이트,Cocamidopropyl PG-Dimonium Chloride Phosphate,83682-78-4,"정전기방지제, 헤어컨디셔닝제",B,C,BC,,,,,,H318,,,,1,,,
17,옥수수오일,Corn Oil (RIFM);Maize Oil;Zea Mays Oil,Zea Mays (Corn) Oil,8001-30-7,"향료, 모발컨디셔닝제, 수분증발차단제, 계면활성제-유화제",A,B,AB,,,,,,,,,,,,,
18,코코넛야자오일,코코넛오일(Cocos Nucifera (Coconut) Oil),Cocos Nucifera (Coconut) Oil,8001-31-8,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",A,B,AB,,,,,,,,,,,,,
19,알로에베라잎즙,Aloe Barbadensis Gel;Aloe Gel;Aloe Juice;Aloe Vera Gel,Aloe Barbadensis Leaf Juice,85507-69-3;94349-62-9,피부컨디셔닝제,B,C,BC,,,,,,,,유사EWG,,,,,
20,세테아릴알코올,"alcohol cetylicus et stearylicus (EP);Alcohols, C16-18;Cetostearyl Alcohol;Cetyl/Stearyl Alcohol;1-Octadecanol, mixt. with 1-Hexadecanol",Cetearyl Alcohol,8005-44-5;67762-27-0,"유화안정제, 불투명화제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",A,C,AC,,,,,,,,,,,,,
21,C12-15알킬벤조에이트,"Alkyl (C12-C15) Benzoate;Benzoic Acid, C12-15 Alkyl Esters;C12-15 Alcohols Benzoate",C12-15 Alkyl Benzoate,68411-27-8,피부유연화제,A,C,AC,,,,,,,,,,,,,
22,코코-카프릴레이트/카프레이트,,Coco-Caprylate/Caprate,95912-86-0,피부유연화제,A,C,AC,,,,,,,,,,,,,
23,글리세릴스테아레이트,"2,3-Dihydroxypropyl Octadecanoate;Glycerin 1-stearate;glyceroli monostearas (EP);Glyceryl monostearate (RIFM);Gycerol 1-Stearate;Monostearin;Octadecanoic Acid, 2,3-Dihydroxypropyl Ester;Octadecanoic Acid, Monoester with 1,2,3-Propanetriol;Stearic Acid 1-Monoglyceride",Glyceryl Stearate,11099-07-3;123-94-4;31566-31-1,"착향제, 피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
24,쉐어버터,소듐시어버터암포아세테이트,Sodium Sheabutteramphoacetate,515861-29-7,계면활성제(세정제),A,C,AC,,,,,,,,,,,,,
25,세테아릴글루코사이드,Cetearyl Polyglucose,Cetearyl Glucoside,,계면활성제-유화제,A,C,AC,,,,,,,,,,,,,
26,다이카프릴릴카보네이트,디카프릴릴카보네이트(Dicaprylyl Carbonate),Dicaprylyl Carbonate,1680-31-5,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
27,글리세린,Glycerol,Glycerin,56-81-5,"변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",A,A,AA,,,,,,,,,,,,,
28,아보카도오일,Alligator Pear Oil,Persea Gratissima (Avocado) Oil,8024-32-6,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
29,카렌둘라추출물,포트마리골드추출물,Calendula Officinalis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
30,캐모마일꽃추출물,"캐모마일꽃추출물(Anthemis Nobilis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract);Camomille Extract",Anthemis Nobilis Flower Extract,84649-86-5,"향료, 피부컨디셔닝제, 수분증발차단제",A,C,AC,,,H317,,,,,유사EWG,,,,,
31,오이열매추출물,오이추출물(Cucumis Sativus (Cucumber) Fruit Extract),Cucumis Sativus (Cucumber) Fruit Extract,89998-01-6,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
32,갈조추출물,[명칭삭제] 조류추출물,Algae Extract,92128-82-0,"착향제, 보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
33,잔탄검,Corn Sugar Gum;gummi xanthanum (EP);Xanthan,Xanthan Gum,11138-66-2,"결합제, 유화안정제, 피부컨디셔닝제, 계면활성제-유화제, 점증제-수용성",A,B,AB,,,H317,,,,,,,,,,
34,녹차추출물,백차추출물,Camellia Sinensis Leaf Extract,84650-60-2,"산화방지제, 수렴제, 향료, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제, 변색방지제",A,C,AC,,,H317,,,,,,,,,,
35,서양배추출물,Pear Extract;Pear Fruit Extract;Pyrus Communis Extract,Pyrus Communis (Pear) Fruit Extract,90082-43-2,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
36,카프릴하이드록사믹애씨드,"Octanamide, N-Hydroxy-",Caprylhydroxamic Acid,7377-03-09,금속이온봉쇄제,,,,,,,,,,,,,,,,
37,징크옥사이드,CI 77947;Low Temperature Burned Zinc Oxide;Pigment White 4;zinci oxidum (EP);Zinc White,Zinc Oxide;CI 77947,1314-13-2,"벌킹제(증량제), 피부보호제, 자외선차단(기능성화장품)",B,A,BA,,,H317,H360,H350,H318,,,,,,,
38,로즈힙열매오일,,Rosa Canina Fruit Oil,84696-47-9,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
