고유번호,제품명,브랜드,카테고리,조회수,총별점,별점횟수,높은위험포함,중간위험포함,주의성분포함
1,베이비 네이처 매지컬 인 샤워 에센스 오일,A24(에이이십사),오일,236,5,3,0,1,1
2,내추럴 베이비 징크 선 스크린,CPN(캘리포니아퓨어내추럴),선케어,4357,15,4,0,1,1
3,오가닉 베이비 크리미 밤,CPN(캘리포니아퓨어내추럴),크림,2345,14,5,0,0,1
4,베이비 인 더 가든 T케어크림,G.hands(지핸즈),크림,13234,5,3,0,1,1
5,베이비 인 더 가든 보습오일,G.hands(지핸즈),오일,125,19,4,0,1,0
6,Kids Goat Bamboo Wipes,GOAT(더고트스킨케어),물티슈,2234,23,5,0,1,1
7,마미 투 비 럭셔리웅스 퍼밍 바디 오일,IWLT(아이더블유엘티),오일,3,24,6,0,1,1
8,에코 물티슈,LG생활건강(엘지생활건강),물티슈,4234,25,6,0,1,0
9,베이비 모이스처라이징 크림,QV(큐브이),크림,43,22,5,0,1,1
10,퓨어 베이비 마일드 크림,SNP(에스엔피),크림,5,21,6,0,1,1
11,베이비 선크림,VT(브이티),선케어,3,1000,254,0,1,1
12,베이비 수딩젤,VT(브이티),크림,4,28,6,0,1,1
13,베이비 크림,VT(브이티),크림,1,15,4,0,1,1
14,갓식스 오가닉 마사지 오일,간나나기(GANNANAGI),오일,4,200,57,0,0,1
15,내추럴 S.O.S 수딩 젤,간나나기(GANNANAGI),크림,36,300,68,0,0,1
16,스킨티슈 엠보싱 물티슈,간나나기(GANNANAGI),물티슈,2,150,85,0,1,1
17,올케어 리커버 크림,간나나기(GANNANAGI),크림,45,20,4,0,0,1
18,고사리손 베이비 바디워시,고사리숲(GOSARI.F),워시,346,240,56,0,0,1
19,유아용 촉촉 립 밤,고사리숲(GOSARI.F),립케어,453,12,3,0,1,1
20,물티슈[스위트],곰돌이(Gomdoli),물티슈,6,15,5,0,1,1
21,블랙라벨 물티슈,곰돌이(Gomdoli),물티슈,45,15,5,0,1,1
22,바세린 베이비 알로에 수딩젤,과일나라(KWAILNARA),크림,1,20,5,0,1,1
23,바세린 울트라 모이스처 베이비 바쓰&샴푸,과일나라(KWAILNARA),워시,236,24,6,0,1,1
24,바세린 울트라 모이스처 베이비 크림,과일나라(KWAILNARA),크림,4,19,7,0,1,1
25,베이비 배스,굿센스(GOODSENSE),워시,5,90,21,1,1,1
26,다이애퍼 프로 크림,궁중비책(GOONGBE),크림,2,17,4,0,1,1
27,데일리 엠보싱 물티슈,궁중비책(GOONGBE),물티슈,34,28,6,0,1,1
28,마일드 클렌징 티슈,궁중비책(GOONGBE),물티슈,5,8,2,0,1,1
29,모이스처 로션,궁중비책(GOONGBE),로션,6,14,3,0,1,1
30,모이스처 스틱 밤,궁중비책(GOONGBE),크림,4,24,5,0,1,1
31,바디 워시,궁중비책(GOONGBE),워시,6,28,6,0,1,1
32,밸런싱 로션,궁중비책(GOONGBE),로션,2,20,5,0,1,1
33,샴푸&바스,궁중비책(GOONGBE),워시,4,20,6,0,1,1
34,수딩 파우더,궁중비책(GOONGBE),파우더,674,14,3,0,1,1
35,수딩 플루이드,궁중비책(GOONGBE),로션,676,14,5,0,0,1
36,워터 젤 로션,궁중비책(GOONGBE),로션,54,14,4,0,1,1
37,카밍 바스 파우더,궁중비책(GOONGBE),워시,734,240,53,0,1,1
38,크리미 선 쿠션,궁중비책(GOONGBE),선케어,564,1,1,0,1,1
39,크리미 솝,궁중비책(GOONGBE),워시,23,9,5,0,1,1
40,크리미 오일,궁중비책(GOONGBE),오일,6,15,7,0,1,1
41,토닥토닥 선터치,궁중비책(GOONGBE),선케어,234,15,4,0,1,1
42,페이스 로션,궁중비책(GOONGBE),로션,5,15,6,0,1,1
43,퓨어 선크림,궁중비책(GOONGBE),선케어,5,70,56,0,1,1
44,프레시 선 스틱,궁중비책(GOONGBE),선케어,45,15,3,0,1,1
45,프리미엄 소프트 물티슈,궁중비책(GOONGBE),물티슈,5,15,5,0,1,1
46,프리미엄 손 & 얼굴 물티슈,궁중비책(GOONGBE),물티슈,4,200,45,0,1,1
47,플레이 선 로션,궁중비책(GOONGBE),선케어,5,14,3,0,1,1
48,헤어 샴푸,궁중비책(GOONGBE),헤어,2,28,6,0,1,1
49,세이프 왁스,그라펜(GRAFEN),헤어,34,100,57,0,0,1
50,내추럴 키즈 크림,그라함스(Grahams),로션,4,16,4,0,1,1
51,내츄럴 키즈 바디 앤 베스 오일,그라함스(Grahams),워시,5,30,7,0,1,1
52,티어 프리 젠틀 베이비 워시,그랜마엘스(GRANDMAEL'S),워시,5,90,57,0,1,1
53,모이스처라이징 베이비 로션,그린베이비(greenbaby),로션,5,20,5,0,1,1
54,내추럴 수딩 젤 로션,그린핑거(GREENFINGER),로션,5,20,7,0,1,1
55,네이처메이드 베이비 로션,그린핑거(GREENFINGER),로션,42,4,1,0,1,1
56,네이처메이드 샴푸 앤 워시,그린핑거(GREENFINGER),워시,5,3,1,0,1,1
57,네이처메이드 소프트 터치 파우더,그린핑거(GREENFINGER),파우더,3425,350,79,0,1,1
58,마이 키즈 보이 로션,그린핑거(GREENFINGER),로션,32,300,67,0,1,1
59,마이 키즈 보이 샴푸,그린핑거(GREENFINGER),헤어,6,8,6,1,1,1
60,마이 키즈 인텐시브 케어 바스,그린핑거(GREENFINGER),워시,36,8,5,0,1,1
61,마이 키즈 키즈 거품 샴푸,그린핑거(GREENFINGER),헤어,32,68,67,0,1,1
62,마이 키즈 키즈 거품 워시,그린핑거(GREENFINGER),워시,46,5,3,0,1,1
63,마이 키즈 키즈 로션,그린핑거(GREENFINGER),로션,546,100,34,0,1,1
64,마이 키즈 키즈 얼굴 로션,그린핑거(GREENFINGER),로션,34,6,5,0,1,1
65,마이 키즈 키즈 워시[후레쉬],그린핑거(GREENFINGER),워시,43,68,67,0,1,1
66,마이 키즈 키즈 컨디셔닝 린스,그린핑거(GREENFINGER),헤어,767,12,3,0,1,1
67,마이 키즈 키즈샴푸,그린핑거(GREENFINGER),헤어,6,35,8,1,1,1
68,말랑말랑 프레쉬 선젤(2),그린핑거(GREENFINGER),선케어,45,35,8,0,1,1
69,미네랄 선로션,그린핑거(GREENFINGER),선케어,6,31,7,0,1,1
70,베베 드 포레 로션,그린핑거(GREENFINGER),로션,43,21,5,0,1,1
71,순한자연보습 아토 거품 샴푸,그린핑거(GREENFINGER),헤어,5,36,34,0,1,1
72,야외놀이 선크림,그린핑거(GREENFINGER),선케어,34,59,56,0,1,1
73,촉촉한 자연보습 베이비 샴푸,그린핑거(GREENFINGER),헤어,5,24,5,0,1,1
74,촉촉한 자연보습 베이비 오일,그린핑거(GREENFINGER),오일,245,24,7,0,1,1
75,베이직 물티슈,까르몽(Kkareumong),물티슈,4,24,7,0,1,1
76,비타민나이즈드 바디 오일,까리두(CALIDOU),오일,5,98,67,0,1,1
77,샴푸,까리두(CALIDOU),헤어,6,20,5,0,1,1
78,네이처 물티슈,깨끗한나라(Kleannara),물티슈,5,20,8,0,1,1
79,룰리 유아용 물티슈,깨끗한나라(Kleannara),물티슈,5,98,67,0,1,1
80,베이비 샴푸,꾸찌올로(CUCCIOLO),헤어,3,14,4,0,1,1
81,베이비 오일,나노네이처(NANONATURE),오일,4,20,6,1,1,1
82,올인원 키즈 오일,나라마(narama),오일,76,10,3,0,1,1
83,베이비 샴푸,넬켄(NOLKEN),헤어,5,10,4,0,1,1
84,베이비 립크림 딸기향,녹십자(GREENCROSS),립케어,4,10,5,0,1,1
85,베이비 립크림 멜론향,녹십자(GREENCROSS),립케어,5,10,3,0,1,1
86,베이비 립크림 바나나향,녹십자(GREENCROSS),립케어,2,10,5,0,1,1
87,베이비 립크림 포도향,녹십자(GREENCROSS),립케어,435,10,7,0,1,1
88,엑스트라 젠틀 샴푸,누들앤부(Noodle&Boo),헤어,4,10,2,0,1,1
89,컨디셔닝 헤어 폴리시,누들앤부(Noodle&Boo),헤어,5,1000,325,0,1,0
90,키즈 코코넛 소프트 왁스,다슈(DASHU),헤어,23,30,6,0,1,1
91,키즈 코코넛 하드 왁스,다슈(DASHU),헤어,45,10000,3468,0,1,1
92,베이비 마일드 오가닉 립 밤,닥터브로너스(DR.BRONNER'S),립케어,5,0,0,0,0,1
93,리얼 소프트 포밍 샴푸,닥터아토(Dr.ato),헤어,4,200,54,0,1,1
94,제로 플러스 베이비 콤팩트 파우더,닥터아토(Dr.ato),파우더,53,2000,432,0,0,1
95,라임&브라운 베이비&맘 립밤 건민감성피부용,데이셀(DAYCELL),립케어,45,100,24,0,0,1
96,라임&브라운 베이비&맘 립밤 극건성피부용,데이셀(DAYCELL),립케어,3,3000,675,0,0,0
97,베이비 파우더 엑스트라마일드언센티드,리틀트위그(Littletwig),파우더,4,200,47,0,1,1
98,베이비 비 크림 투 파우더,버츠비(BURT'SBEES),파우더,6,200,46,0,1,1
99,슈프림 베이비 립밤,베르플로스(VERFLOS),립케어,5,200,53,0,0,1
100,네추럴 립 젤,베베가닉(BeBeganic),립케어,79,28,6,0,1,1
101,베이비 파우더,뷔센(Bubchen),파우더,78,300,67,0,1,1
102,베이비 립밤,세바메드(sebamed),립케어,9,4,1,0,1,1
103,샤이니 립글로우 베이비옐로우,소피루비(SofyRuby),립케어,860,13,3,0,1,1
104,보송보송 아기 파우더,손지1013(SohnJi1013),파우더,56,240,56,0,0,0
105,탤크 프리 콤팩트 파우더,스킨베리나뛰르(skinveryNature),파우더,8,1000,324,0,1,1
106,파우더,아이베베(ibaebae),파우더,68,200,45,0,0,1
107,마일드 컴팩트 파우더,아토베베(atobebe),파우더,45,3000,634,0,1,1
108,더마 수딩 파우더,아토팜(ATOPALM),파우더,76,30,7,0,1,1
109,오가닉 베이비 카밍 미스트,알티야오가닉스(ALTEYAORGANICS),기타화장품,43,20,6,1,1,1
