고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,D S L,EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고,S or R,천식/호흡,피부자극,발달/생식,발암,눈자극,
1,정제수,Water,7732-18-5,용제,A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
2,소듐코세스설페이트,Sodium Coceth Sulfate ,68891-38-3,계면활성제,C,S,S,S,S,,,,,,,G,1,,,,,,,,,,,H318,
3,글리세린,Glycerin,56-81-5,"변성제, 향료, 보습제",A,N,N,N,N,,,,,,,G,,,,,,,,H335,,,,,
4,코코글루코사이드,Coco Glucoside,141464-42-8,계면활성제,B,X,S,L,X,,,,,,,G,,,,,,,,,,,,H318,
5,소듐클로라이드,Sodium Chloride ,7647-14-5,"감미제, 점증제",A,N,N,N,N,,,,,,,G,,,,,,,,H335,,,,H318,
6,쌀겨오일,Oryza Sativa (Rice) Bran Oil ,68553-81-1 ,수분증발차단제,,,,,,,,,,,,G,,,,,,,,,,,,,
7,수크로오스,Sucrose ,57-50-1,"감미제, 보습제",A,N,N,N,N,S,,,,,,G,,,,,,,,H335,,,,,
8,테트라소듐이디티에이,Tetrasodium EDTA ,1964-02-08,금속이온봉쇄제,C,X,X,X,X,,,,,,1,,,,,,,,,,,,,,
9,쌀추출물,Oryza Sativa (Rice) Extract ,90106-37-9,컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
10,라벤더추출물,Lavandula Angustifolia (Lavender) Extract ,90063-37-9,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
11,레몬밤추출물,Melissa Officinalis Extract,84082-61-1,,C,X,X,X,X,,,,,,,,,,,,,,,H335,H317,,,H318,
12,베르가못잎추출물,Monarda Didyma Leaf Extract,91722-89-3,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
13,레몬그라스추출물,Cymbopogon Schoenanthus Extract,89998-16-3,피부컨디셔닝제,C,X,S,X,X,,,,,,,,,,,,,,,,H317,,,,
14,캐모마일잎추출물,Chamomilla Recutita (Matricaria) Leaf Extract ,84082-60-0,"방향제, 피부교질화제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
15,페퍼민트잎추출물,Mentha Piperita (Peppermint) Leaf Extract ,84082-70-2,"향료, 피부컨디셔닝제, 수분증발차단제",C,X,S,X,X,,,,,,,,,,,,,,R,,,,,,
16,애플민트잎추출물,Mentha Rotundifolia Leaf Extract,84082-62-2,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
17,스피어민트추출물,Mentha Viridis (Spearmint) Extract ,90064-01-0,향료,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
18,로즈마리잎추출물,Rosmarinus Officinalis (Rosemary) Leaf Extract ,84604-14-8,피부컨디셔닝제,C,X,S,X,X,,,,,,,,,,,,,,S,,,,,,
19,스피어민트잎오일,Mentha Viridis (Spearmint) Leaf Oil,8008-79-5,"수렴제, 감미제, 향료, 피부컨디셔닝제",C,S,S,X,S,,,,,,,,,,,,,,,H335,H317,,,,
20,라벤더오일,Lavandula Angustifolia (Lavender) Oil ,8000-28-0,"향료, 피부컨디셔닝제",C,S,S,X,S,,,,,,,,,,,,,,,H335,H317,,,,
21,레불리닉애씨드,Levulinic Acid,123-76-2,"향료, 피부컨디셔닝제",,,,,,,,,,,,,,,,,,,,H335,H314,,,H318,
22,페퍼민트오일,Mentha Piperita (Peppermint) Oil,8006-90-4,"향료, 피부컨디셔닝제",C,X,S,X,S,,,,,,,,,,,,,,,,H317,,,,
23,서브틸리신,Subtilisin ,9014-01-01,"용해제, 피부컨디셔닝제",B,S,X,X,X,S,,,,,,Y,,,,,,,,H334,,,,H318,
24,소포제,Antifoaming agent,,,D,X,X,X,X,,,,,,,,,,,,,사용량/사용방법에 따라 C~D등급,,,,,,,
25,소듐하이드록사이드,Sodium Hydroxide,1310-73-2,"변성제, PH 조절제",F,N,N,N,N,S,S,,,1,1,G,,,,,,사용량/사용방법에 따라 A~F등급,,H335,H314,,,H318,
26,소듐자일렌설포네이트,Sodium Xylene sulfonate ,1300-72-7,계면활성제,C,X,S,L,L,,,,,,,G,,,,,,,,,,,,,
27,하이포클로로스애씨드,hypochlorous acid,7790-92-3 ,산화제,F,X,H,X,X,,,,,,,,,,,,,,,,,,,,
28,라우라민옥사이드,Lauramine Oxide,1643-20-5,"향료, 모발컨디셔닝제, 계면활성제",B,X,S,L,L,,,,,,,G,,,,,,,,,H314,,,H318,
29,d-리모넨,d-Limonene,5989-27-5,"향료, 용제",C,S,S,X,S,S,S,,,1,,Y,,,,,,,,,H317,,,,
30,리날릴아세테이트,Linalylacetate,115-95-7,향료,C,X,X,X,X,,,,,,,Y,,,,,,,R,H335,H317,,,,
31,벤질살리실레이트,Benzyl salicylate,118-58-1,"향료, 변색방지제",C,X,S,X,X,,,,,,,Y,,,,,,,R,H335,H314,,,,
32,디프로필렌글라이콜,Dipropylene glycol,"110-98-5, 25265-71-8","향료, 용제, 점도감소제",C,S,S,S,S,,,,,,,G,,,,,,,,,,,,,
33,감마-운데카락톤,gamma-Undecalactone,104-67-6,"착향제, 피부컨디셔닝제",C,X,X,X,X,,,,,,,H,,,,,,,,H335,,,,,
34,부틸페닐메틸프로피오날 ,Butylphenyl Methylpropional(Lilial),80-54-6,착향제,C,X,X,X,X,,,,,,,,,,,,,,R,H334,H317,H360,,,
35,유제놀,Eugenol,97-53-0,"변성제, 향료",,,,,,S,,,,,1,,,,,,,,R,H334,H317,,,,
36,헥실신나몰,Hexyl cinnamaldehyde,101-86-0,향료,C,X,S,X,X,,,,,,,,,,,,,,R,H335,H314,,,,
37,디하이드로미르세놀,Dihydromyrcenol,18479-58-8,향료,C,X,X,X,X,,,,,,,H,,,,,,,S,,,,,,
38,Vertofix coeur,Vertofix coeur,32388-55-9,향료,,,,,,,,,,,,,,,,,,,R,,H317,,,,
39,Vertenex,Vertenex,32210-23-4,향료,C,X,X,X,X,,,,,,,Y,,,,,,,,,H317,,,,
40,소듐라우레스설페이트,Sodium laureth sulfate (SLES),"9004-82-4, 3088-31-1",계면활성제,C,S,S,S,S,,,,,,1,G,1,,,,,,,,,,,,
